territory,base,target30off,chosenPrice,discountPct,pricePointId
POL,299.99,209.993,209.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJQT0wiLCJwIjoiMTAzOTMifQ
PRT,79.99,55.993,55.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJQUlQiLCJwIjoiMTAzNDUifQ
PRY,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJQUlkiLCJwIjoiMTAyMDMifQ
QAT,399.99,279.993,279.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJRQVQiLCJwIjoiMTA0MjcifQ
ROU,299.99,209.993,209.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJST1UiLCJwIjoiMTAzOTMifQ
RUS,4490.0,3143.0,3150.0,29.8,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJSVVMiLCJwIjoiMTAzOTYifQ
RWA,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJSV0EiLCJwIjoiMTAxMDYifQ
SAU,299.99,209.993,209.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTQVUiLCJwIjoiMTA0MDUifQ
SEN,17.99,12.593,12.49,30.6,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTRU4iLCJwIjoiMTAxMzkifQ
SGP,149.98,104.986,104.98,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTR1AiLCJwIjoiMTA1MDEifQ
SLB,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTTEIiLCJwIjoiMTAyMDMifQ
SLE,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTTEUiLCJwIjoiMTAxMDYifQ
SLV,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTTFYiLCJwIjoiMTAxNTgifQ
SRB,39.99,27.993,27.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTUkIiLCJwIjoiMTAyMTcifQ
STP,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTVFAiLCJwIjoiMTAyMDMifQ
SUR,12.99,9.093,9.09,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTVVIiLCJwIjoiMTAxMTYifQ
SVK,79.99,55.993,55.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTVksiLCJwIjoiMTAzNDUifQ
SVN,79.99,55.993,55.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTVk4iLCJwIjoiMTAzNDUifQ
SWE,999.0,699.3,699.0,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTV0UiLCJwIjoiMTAyNTkifQ
SWZ,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTV1oiLCJwIjoiMTAxNTgifQ
SYC,49.99,34.993,34.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJTWUMiLCJwIjoiMTAyNTIifQ
TCA,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJUQ0EiLCJwIjoiMTAyMDMifQ
TCD,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJUQ0QiLCJwIjoiMTAxMDYifQ
THA,1290.0,903.0,900.0,30.2,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJUSEEiLCJwIjoiMTAyMzEifQ
TJK,12.99,9.093,9.09,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJUSksiLCJwIjoiMTAxMTYifQ
TKM,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJUS00iLCJwIjoiMTAxMDYifQ
TON,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJUT04iLCJwIjoiMTAyMDMifQ
TTO,49.99,34.993,34.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJUVE8iLCJwIjoiMTAyNTIifQ
TUN,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJUVU4iLCJwIjoiMTAxNTgifQ
TUR,1999.99,1399.993,1399.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJUVVIiLCJwIjoiMTA0NzkifQ
TWN,2990.0,2093.0,2090.0,30.1,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJUV04iLCJwIjoiMTAzMjYifQ
TZA,34900.0,24430.0,24500.0,29.8,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJUWkEiLCJwIjoiMTAxNzQifQ
UGA,14.99,10.493,10.49,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJVR0EiLCJwIjoiMTAxMjkifQ
UKR,29.99,20.993,20.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJVS1IiLCJwIjoiMTAxODIifQ
URY,49.99,34.993,34.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJVUlkiLCJwIjoiMTAyNTIifQ
USA,99.99,69.993,69.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJVU0EiLCJwIjoiMTAzODcifQ
UZB,24.99,17.493,17.49,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJVWkIiLCJwIjoiMTAxNjQifQ
VCT,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJWQ1QiLCJwIjoiMTAyMDMifQ
VEN,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJWRU4iLCJwIjoiMTAxNTgifQ
VGB,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJWR0IiLCJwIjoiMTAyMDMifQ
VNM,699000.0,489300.0,489000.0,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJWTk0iLCJwIjoiMTAyNTAifQ
VUT,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJWVVQiLCJwIjoiMTAyMDMifQ
XKS,99.99,69.993,69.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJYS1MiLCJwIjoiMTAzODcifQ
YEM,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJZRU0iLCJwIjoiMTAxMDYifQ
ZAF,699.99,489.993,489.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJaQUYiLCJwIjoiMTAyNTAifQ
ZMB,17.99,12.593,12.49,30.6,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJaTUIiLCJwIjoiMTAxMzkifQ
ZWE,29.99,20.993,20.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJaV0UiLCJwIjoiMTAxODIifQ
